Applicant_Income,Credit_Score,DTI_Ratio,Existing_Loans,Loan_Amount,Loan_Approved
40000,572,53,3,102000,0
74000,710,33,2,222000,1
60000,665,39,2,176000,0
128000,793,15,0,430000,1
32000,551,60,4,69000,0
89000,732,25,1,285000,1
48000,606,47,2,130000,0
113000,763,19,0,378000,1
41000,577,52,3,106000,0
95000,741,23,1,318000,1
36000,560,57,4,87000,0
70000,700,35,2,216000,1
56000,647,41,2,161000,0
120000,778,17,0,395000,1
44000,586,49,3,119000,0
84000,724,27,1,262000,1
27000,533,64,5,62000,0
77000,714,30,1,236000,0
53000,634,44,2,146000,0
99000,746,22,1,335000,1
38000,566,55,3,93000,0
72000,706,34,2,219000,1
59000,658,40,2,173000,0
124000,789,16,0,418000,1
31000,549,61,4,70000,0
86000,727,26,1,272000,1
49000,610,47,2,131000,0
109000,759,20,0,362000,1
42000,579,51,3,109000,0
91000,734,24,1,302000,1
35000,557,57,4,83000,0
69000,697,36,2,207000,1
58000,654,40,2,168000,0
121000,781,17,0,402000,1
43000,584,50,3,117000,0
80000,719,28,1,248000,1
26000,531,65,5,59000,0
75000,711,31,1,229000,0
51000,623,45,2,139000,0
96000,742,23,1,322000,1
37000,564,55,3,90000,0
73000,707,34,2,217000,1
61000,673,38,2,179000,0
127000,792,15,0,428000,1
34000,556,58,4,81000,0
90000,733,25,1,292000,1
50000,616,46,3,134000,0
111000,761,20,0,372000,1
41000,576,52,3,107000,0
93000,737,24,1,308000,1
36000,561,56,4,88000,0
70000,701,35,2,213000,1
55000,643,42,2,157000,0
118000,774,18,0,389000,1
45000,591,49,3,121000,0
81000,720,28,1,251000,1
28000,541,62,4,66000,0
76000,712,31,1,231000,0
52000,630,44,2,141000,0
100000,747,22,1,338000,1
39000,569,54,3,94000,0
72000,706,34,2,221000,1
58000,657,40,2,169000,0
122000,784,16,0,412000,1
30000,547,61,4,69000,0
85000,726,26,1,268000,1
48000,607,47,2,129000,0
107000,756,21,0,358000,1
40000,574,52,3,104000,0
92000,735,24,1,306000,1
35000,559,57,4,85000,0
69000,698,36,2,209000,1
56000,649,41,2,164000,0
116000,771,18,0,386000,1
43000,582,50,3,114000,0
82000,722,27,1,256000,1
27000,534,64,5,61000,0
78000,715,30,1,237000,1
54000,637,43,2,150000,0
104000,753,22,1,348000,1
39000,571,53,3,99000,0
74000,709,33,2,223000,1
60000,664,39,2,177000,0
129000,794,15,0,432000,1
33000,553,59,4,73000,0
88000,729,25,1,278000,1
49000,611,47,2,133000,0
108000,758,20,0,364000,1
41000,578,51,3,110000,0
92000,736,23,1,304000,1
